chinese_name,english_names,english_descriptions,chinese_spans,csi_category_stage_1,csi_consensus_spans,csi_or_not,csi_category_stage_2
蜜汁烧小肉排,['stewed pork tenderloin with honey'],[''],蜜汁 烧小 肉排,1,,1,
大拌菜,['mixed vegetables'],[''],大拌 菜,0,,0,
香煎鹅肝伴带子,['pan fried foie gras with king scallop'],[''],香 煎 鹅 肝伴 带子,1,,1,
蒸鸡锅貼,['steamed chicken dumplings'],[''],蒸鸡锅 貼,1,,1,
牛腩炒河粉面,['stir fried beef brisket with ho fun noodle fried rice;v vegetarian vg vegan on request spicy'],[''],牛腩 炒河 粉面,1,,1,
椒丝腐乳空心菜,['stir fried tung choi with chilli'],['in fermented bean curd sauce'],椒 丝 腐乳 空心 空心菜,1,,1,
油焖香菇,['braised black mushrooms'],[''],油焖 香菇,0,,0,0.0
松茸烩鱼翅,['braised shark fin with mushrooms'],[''],松茸 烩 鱼翅,1,,1,
酱海鲜蛋炒饭,['fried rice with assorted seafood in xo sauce'],[''],酱 海鲜 炒饭 蛋炒饭,1,,1,
双菇竹笙杂菜羹,['chinese mushroom and bamboo fungus soup'],[''],双菇 竹笙 杂 菜羹,1,,1,
麻辣鹿筋,['sauteed venison tendon with spicy sauce'],[''],麻辣 鹿筋,1,,1,
拌海带丝,['shredded kelp salad'],[''],拌 海带 海带丝,0,,0,
京葱和尚鱼,['monk fish with spring onion t'],['Hot Bean Sauce'],京葱 和尚 鱼,0,,0,
雪糕糯米糍,['glutinous rice balls stuffed with ice cream'],"['Glutinous Rice Flour, Ice Cream']",雪糕 糯米 糍,1,,1,
咸蛋黄酥炸白虾连壳或去壳,['fried king prawns with or without shell with salty duck egg yolk'],"['King Prawn, Salty Duck Egg Yolk, Spring Onion']",咸蛋 黄 酥炸 白虾 连壳 或 去 壳,0,,0,
大虾炒河,['dry fried hor fun with king prawns'],[''],大虾 炒河,1,,1,
清炒大虾球,['stir fried king prawns with mixed vegetable'],['Asparagus black fungus carrot broccoli'],清炒 大 虾球,0,,0,
砂锅菇丝翅,['braised shredded mushrooms and shark fin in casserole'],[''],砂锅 菇 丝 翅,1,,1,
可乐鸡饭,['rice topped with stewed chicken in coke'],[''],可乐 鸡饭,1,,1,
豆腐肉碎炒饭,['minced pork & beancurd fried rice'],"['Pork, Beancurd, Egg, Rice, Spring Onion']",豆腐 肉碎 炒饭,0,,0,0.0
凉拌支竹,['yoba skin with peanuts and garlic sauce'],[''],凉拌 支竹,1,,1,
干锅牛百叶,['griddle cooked ox beef tripe'],[''],干锅 牛 百叶,1,,1,
芥末木耳,['black fungus with wasabi'],[''],芥末 木耳,0,,0,
炒地三鲜,['chinese cabbage cooked in ham and prawn soup'],[''],炒地 三鲜,2,,1,
扑辣椒炒鸡胗,['house picked chilli with chicken gizzard'],[''],扑 辣椒 炒鸡 胗,2,,1,
海鲜乌冬面,['japanese noodle soup with seafood'],[''],海鲜 乌冬面,0,,0,
酸豆角肉泥,['fried preserved string beans'],[''],酸豆 豆角 酸豆角 肉泥,1,,1,
蒜头酱汁大虾,['king prawn with garlic and mild spicy sauce'],[''],蒜头 酱汁 大虾,0,,0,
姜葱素鸡素牛豆腐,['ginger and spring onion'],['Chicken Beef Tofu'],姜葱 素鸡 素牛 豆腐,1,,1,
扇贝蒜茸蒸炒豉汁蒸,['steamed with black bean sauce'],[''],扇贝 蒜茸 蒸炒 豉汁 蒸,0,,0,
葱烧黑木耳,['sauteed black fungus with scallion'],[''],葱烧 黑木 木耳 黑木耳,0,,0,
鸭汤醋椒鱼,['braised mandarin fish with chili pepper in duck soup'],[''],鸭汤 醋椒鱼,1,,1,
菜肉生煎包,"['delicious pan fried minced king prawns & minced pork with chinese mushroom, ginger & spring onion buns']","[' Minced King Prawns & Minced Pork with Chinese Mushroom, Ginger & Spring Onion Buns']",菜肉 生煎包,1,,1,
煎猪柳,['pan-fried pork fillet'],[''],煎 猪 柳,0,,0,
豆苗大虾,['stir-fry prawns with pea sprouts'],[''],豆苗 大虾,0,,0,
味缘小炒肉,['stir fried pork with soy bean sauce'],[''],味缘 小炒 肉,1,,1,
蒜头酱汁鸡,['sliced chicken with garlic and mild spicy sauce'],[''],蒜头 酱汁 鸡,0,,0,
黄金拼盘骨海草春卷虾多士椒盐鸡,"[""wong's mix hors d'euvres person""]",['Per Person;Spare Ribs Crispy Seaweed Pancake Rolls;Sesame Prawn on Toast Salt and Chili Chicken'],黄金 拼盘 骨 海草 春卷 虾多士 椒盐 鸡,1,,1,
美极掌中宝,['sauteed chicken feet with maggi sauce'],[''],掌中宝 美极 掌中,3,掌中宝,1,2.0
台式卤肉饭,"['rice with stewed pork, taiwan style ']",[''],台式 卤肉 卤肉饭,1,,1,
素豆腐羹,['rainbow tofu soup'],[''],素 豆腐 羹,0,,0,
松子黄鱼,['yellow-croaker with pine nuts'],[''],松子 黄鱼,1,,1,
饼香肉酱鱼籽,['minced pork and fish roe pancake '],[''],饼 香 肉酱 鱼籽,1,,1,
杨洲炒饭,['special fried rice'],[''],杨洲 炒饭,0,,0,
椒盐虾,['salt and pepper king prawns'],[''],椒盐 虾,0,,0,
酱香牛肉粉丝包,['soy beef with sweet potato noodle bun'],[''],酱香 牛肉 粉丝 包,1,,1,
杞子菠菜饺,['goji berry and spinach dumpling'],[''],杞子 菠菜 饺,1,,1,
银芽什菌担仔面,['stir fried danzi noodle with king mushroom and bean sprout'],['( v )'],银芽 什菌 担仔面,1,,1,
西柠百花鲜鱿,['fried squid with minced shrimps in lemon sauce'],[''],西柠 百花 鲜 鱿,1,,1,
椰蓉酥,['coconut pastry'],[''],椰蓉 酥,0,,0,
蒜头酱汁羊柳,['sliced lamb fillet with garlic in mild spicy sauce'],[''],蒜头 酱汁 羊柳,0,,0,
鲍汁花胶炆面,['braised noodles with fish maw in abalone sauce'],[''],鲍汁 花胶 炆 面,1,,1,
广式招牌炒面,['special chow mein cantonese style'],[''],广式 招牌 炒面,1,,1,
串烧沙嗲鸡或牛,['satay chicken or beef'],[''],串烧 沙嗲鸡 或 牛,1,,1,
五味鸡煲,['five flavour spring chicken'],[''],五味 鸡煲,2,,1,
甜辣鸡丁,['diced chicken with water chestnuts'],[''],甜辣 鸡丁,0,,0,
小笼葱油花卷,['huajuan with scallion'],[''],小笼 葱油 花卷,1,,1,
斋生菜包,['lettuce leaf wrap'],['Yam bean mock chicken taro black bean'],斋 生菜 包,0,,0,
京葱山珍爆牛柳,"['braised beef fillet with scallion, beijing style']",[''],京葱 山珍 爆 牛柳,1,,1,
烧汁羊肉串,['fillet lamb skewer in bbq sauce'],[''],烧汁 羊肉 羊肉串,0,,0,
串串辣子虾,['shrimp kebab with spicy sauce'],[''],串串 辣子 虾,1,,1,
可乐凤中翼,['braised chicken wings in coke'],[''],可乐 凤中翼,2,凤中翼,1,
龙利鱼姜葱蒸煎封椒盐,['steamed fresh dove sole topped with ginger and spring onion in soy sauce'],['Deep Fried in Soy Sauce Salt and Pepper'],龙利鱼 姜葱 蒸 煎 封 椒盐,2,,1,
咖哩汁,['curry sauce'],[''],咖哩 咖哩汁,0,,0,
蜜糖龟苓膏,['guiling jelly chinese herbal jelly served with honey'],[''],蜜糖 龟苓膏,1,,1,
鸡片黑椒豉椒姜葱咖沙,['sweet and sour chicken'],['Cantonese Style'],鸡片 黑椒 豉椒 姜葱 咖沙,1,,1,
猪脚面,"[""braised pig's feet on noodles in soup""]","[""Pig's Feet, Noodles, Vegetables""]",猪 脚面,1,,1,
天津蔬菜鸡肉煎饺,['pan fried tianjin cabbage and chicken gyoza;220kcal'],[''],天津 蔬菜 鸡肉 煎 饺,1,,1,
虾仁角瓜鸡蛋水饺,['courgette egg dumplings'],[''],虾仁 角瓜 鸡蛋 水饺,1,,1,
沙爹青口,['mussels in satay sauce'],['Deep Fried Oysters'],沙爹 青口,1,,1,
豉椒大虾,['king prawn with green pepper and black bean sauce'],[''],豉椒 大虾,0,,0,
芝士焗饭,['cheese bake rice'],[''],芝士 焗 饭,0,,0,
上汤云吞,['wonton soup'],[''],上汤 云吞,1,,1,
冬菇扒棠菜,['braised pak choi with chinese mushrooms'],"['Pak Choi, Chinese Mushrooms']",冬菇 扒棠 菜,0,,0,
三丝翅羹,"['braised ham, mushroom and bamboo shoot in shark fin soup']",[''],三丝 翅 羹,1,,1,
灵芝金银鸭血羹,['duck blood curd thick soup with mushroom and tofu'],[''],灵芝 金银 鸭血 羹,1,,1,
荷叶粉蒸排骨,['spear ribs with glutious rice in lotus leaf'],[''],荷叶 粉蒸 排骨,1,,1,
宫保虾,['gong bao prawn'],['Stir fried prawns with cashew nuts Sichuan peppercorns and chilli'],宫保 虾,1,,1,
鱼香豆腐虾球豆腐匕辛味,['gong bao prawns with cashew nuts'],['STIR FRIED PRAWNS WITH SICHUAN CHILLIES;FRIED PRAWNS AND BEANCURD IN;FISH FRAGRANT SAUCE'],鱼香 豆腐 虾球 豆腐 匕 辛味,1,,1,
殷豉炒蚵,['sauteed oysters with taiwanese black bean sauce'],[''],炒 蚵 殷豉,1,殷豉,1,
生滚海鲜粥,['seafood congee'],[''],生滚 海鲜 粥,1,,1,
上汤乌冬面,['japanese noodle soup'],[''],上 汤 乌冬面,1,,1,
上海油爆虾,"['stir-fried shrimps, shanghai style']",[''],上海 油爆 虾,1,,1,
桂鱼清蒸水煮干烧红烧,"['mandarin fish（steamed/boiled in chili oil, dry- braised, braised ']",[''],桂鱼 清蒸 水煮 干烧 红烧,1,,1,
经典蜜汁黑毛猪叉烧,['honey glazed iberico char siu'],[''],经典 蜜汁 黑 毛猪 叉烧,2,,1,
豉椒炒牛柳,['beef fillet with pepper and black bean sauce'],[''],豉椒 炒 牛柳,0,,0,
罗汉上素斋饺,['deep fried mixed dim sum platter'],[''],饺件 罗汉 斋 上素,1,罗汉,1,1.0
烙饼,['flapjack'],[''],烙饼,0,,0,
蜜豆百合炒鱼菘,['sauteed fish floss with sweetened beans and lily bulbs'],[''],蜜豆 百合 炒鱼 菘,1,,1,
北京拉面,['hand made noodles house special'],[''],北京 拉面,0,,0,
孜然羊腩,['stir fried lamb brisket with cumin'],[''],孜然 羊腩,1,,1,
韭菜炒鸡蛋,['scrambled eggs with chinese chives'],[''],韭菜 鸡蛋 炒鸡蛋,0,,0,
雷沙汤丸,['black sesame balls'],[''],雷沙汤丸 汤丸 雷沙,2,雷沙汤丸,1,
干锅牛肉片,['griddle cooked beef slices'],[''],干锅 牛肉 片,1,,1,
鸭卷,['aromatic duck spring rolls'],[''],鸭卷,0,,0,
八宝菠菜,['spinach with eight delicacies'],[''],八宝 菠菜,1,,1,
牛肉锅贴,['guotie stuffed with beef'],[''],牛肉 锅贴,0,,0,
辔椒鸭翅,['duck wings with pickled peppers'],[''],辔椒 鸭 翅,1,,1,
香煎芋头糕,['taro paste'],[''],香 煎 芋头 糕,1,,1,
马拉豉油皇老虎虾,['malaysian tiger prawns with shell in soya sauce pieces'],[''],马拉 豉 油皇 老虎 虾,0,,0,0.0
铁板沙嗲牛柳,['sizzling beef tenderloin in satay sauce'],[''],铁板 沙 嗲 牛柳,1,,1,
飘香沸腾鱼水煮鱼,['drifting fragrant sea bass in sizzling chilli oil'],['Introducing a modern twist to a Sichuan classic boiled fish dish.;Sliced fish in sizzling chilli oil garnished with a pile of chillies A combination of Ma La hot spicy flavour of chilli and numbing sensation of Sichuan peppers'],水煮鱼 鱼 沸腾 飘香,2,水煮鱼 沸腾,1,2.0
豉椒鸡球,['chicken in black bean sauce and chilli'],[''],豉椒 鸡球,0,,0,
双色剁椒鱼头,['steamed fish head with mixed peppers'],[''],双色 剁 椒 鱼头,2,,1,
香椿煎蛋,['fried eggs with chopped chinese toon leaves'],[''],香椿 煎蛋,0,,0,
酥炸鲜虾饺,['crispy prawn wonton'],[''],酥炸 鲜 虾饺,0,,0,
上汤芥菜胆,['chinese mustard green in chicken soup'],[''],上 汤 芥菜 胆,0,,0,
白灵菇牛柳,['sauteed beef fillet with mushroom'],[''],白灵菇 牛柳,1,,1,
鸽蛋烧裙边,['braised turtle rim with pigeon eggs'],[''],鸽蛋 烧 裙边,0,,0,
蒜蓉粉丝大白菜,['chinese leaf and bean thread'],['Noodles with Garlic;Spear Ribs with Glutious Rice in Lotus Leaf'],蒜蓉 粉丝 大白 白菜 大白菜,1,,1,
葱烧海参鲍鱼,['braised sea cucumber and abalone with scallion'],[''],葱烧 海参 鲍鱼,1,,1,
生煎锅贴,['guotie stuffed with pork'],[''],生 煎 锅贴,0,,0,
炒山瓜仔,['stir-fried baby clams'],[''],炒山瓜 仔,1,,1,
怪味鸡丝,['multi-flavored shredded chicken'],[''],鸡丝 怪味鸡丝 怪味,1,怪味鸡丝,1,1.0
紫菜豆腐汤,['laver and tofu soup large'],[''],紫菜 豆腐 豆腐汤,0,,0,
姜丝鱼片,['braised sliced fish with ginger '],[''],姜丝 鱼片,0,,0,
红烧日本豆腐,['braised japanese tofu in brown sauce'],[''],红烧 日本 豆腐,0,,0,
豆腐乳炒通菜,['sauteed water spinach with preserved tofu sauce'],[''],豆腐 腐乳 豆腐乳 炒 通菜,1,,1,
大虾星米,['singapore rice noodle with king prawns'],[''],大虾 星米,2,,1,
彩椒咕噜肉,['sweet and sour iberico pork'],[''],彩椒 咕噜 肉,1,,1,
豆浆,['soy beverage'],[''],豆浆,0,,0,
迷你小菜卷,['mini veg spring roll'],[''],迷你 小菜 卷,0,,0,
酱水晶珍宝虾球,['sautéed crystal jumbo prawns with yellow chive in xo sauce'],[''],酱 水晶 珍宝 虾球,0,,0,
椒盐鸡翅饭,['salt pepper chicken wings'],[''],椒盐 鸡翅 饭,1,,1,
烧二冬,['braised black mushrooms and bamboo shoots'],[''],烧二冬,3,烧二冬,1,3.0
千丝拔蕉,"[""supreme bird's nest soup with pears and papaya""]",[''],千丝 拔蕉,2,,1,
至尊蟹黄干捞翅,['sauteed shark fin with crab roe'],[''],至尊 蟹黄 干捞 翅,2,,1,
椒盐基围虾,['fried king prawn in spicy salt and pepper in shell'],[''],椒盐 基围 虾,1,,1,
椒盐焗吹筒,['deep fried baby squids with garlic in spicy salt and pepper dry;deep fried oyster in batter;sautéed minced prawn paste with seasonal green;deep fried frog legs with garlic in spicy salt and pepper;there is a service charge;please note all prices are inclusive of vat;we accept major credit cards'],[''],椒盐 焗 吹 筒,1,,1,
冬菇扒豆腐,['braised chinese mushroom with tofu'],[''],冬菇 扒 豆腐,0,,0,0.0
虾酱小饼,['shrimp paste pancake '],[''],虾酱 小饼,1,,1,
麻辣牛肉,['hot spicy beef shank'],[''],麻辣 牛肉,0,,0,
黄焖鸡,['stewed chicken in brown sauce'],"['Chicken, Green & Red Pepper, Ginger']",黄焖 鸡,1,,1,
河畔热拼,['river view mixed hors doeuvres'],['Chicken Satay Beef Satay Deep Fried Wun Tun Crispy Seaweed Deep Fried Prawn Paste Barbecued Spare Ribs'],河畔 热拼,2,,1,
鲜椒鱼片,['sliced sea bass with fresh chillies'],['AND SICHUAN PEPPERCORN SMALL PORTION'],鲜椒 鱼片,1,,1,
红扒鱼翅,['braised shark fin with soy sauce'],[''],红 扒 鱼翅,1,,1,
港式叉烧包,['char siu bun'],[''],港式 叉烧 烧包 叉烧包,1,,1,
腰豆西芹炒鱼松,['sauteed minced fish with celery and kidney beans'],[''],腰豆 西芹 炒 鱼松,0,,0,0.0
龙须扒菜心,['sauteed green vegetable with asparagus '],[''],龙须 扒 菜心,2,,1,
蒸奶皇包,['steamed mini ribs in black bean sauce'],[''],蒸奶 皇包,1,,1,
王府稣鱼,['deep-fried fish with soy sauce'],[''],稣 王府 鱼 王府酥鱼,3,王府 王府酥鱼,1,1.0
四川酸辣粉,['sweet potato vermicelli in spicy and sour soup'],[''],四川 酸辣 酸辣粉,1,,1,
花旗参炖竹丝鸡,['stewed tender chicken with ginseng'],[''],花旗 花旗参 炖 竹丝 鸡,1,,1,
香菇鸡饭,['chicken and mushroom rice'],[''],香菇 鸡饭,0,,0,
五香云豆,['multi-spiced kidney beans'],[''],五香 云豆,0,,0,
红烧南非鲍,['braised south-african abalone with soy sauce'],[''],红烧 南非 鲍,1,,1,
辣白菜炒牛肉,['sauteed beef with spicy cabbage'],[''],白菜 辣白菜 炒 牛肉,0,,0,
香辣豆皮,['spicy dry beancurd'],[''],香辣 豆皮,0,,0,0.0
咖喱牛面,['curried beef on soft noodles with delicious curry sauce'],[''],咖喱 牛面,0,,0,
荞麦馒头,['buckwheat mantou'],[''],荞麦 馒头,0,,0,
蕨根粉拌蛰头,['fern root noodles with jellyish head'],[''],蕨 根粉 拌 蛰头,1,,1,
香茜鱼片汤,['fish fillet and coriander soup'],[''],香茜 鱼片 汤,1,,1,
生炒乳鸽松,['sauteed dried pigeonneau floss'],[''],生 炒 乳鸽 松,1,,1,
荔枝帝皇蟹饺啤梨鲜虾饺,['alaskan king crab dumpling with lychee king prawn dumpling with pear'],[''],荔枝 帝皇 蟹 饺 啤梨鲜 虾饺,0,,0,
时菜大虾三鲜,['king prawn mixed seafood'],['Vegetable'],时 菜 大虾 三鲜,2,,1,
鱼子酱北京烤鸭,['legendary peking duck with oscietra caviar'],[''],鱼子 鱼子酱 北京 烤鸭 北京烤鸭,1,,1,
潮涟烧鸭饭,['roasted duck on rice'],[''],潮 涟 烧鸭 饭,1,,1,
椒盐珍宝软壳蟹,['crispy soft shell crab in salt and pepper s'],[''],椒盐 珍宝 软壳 蟹,1,,1,
鱼蓉烧卖,['fish sui mai supreme'],[''],鱼蓉 烧卖,1,,1,
虾球汤面,['king prawn noodle in soup'],[''],虾球 汤面,0,,0,0.0
土豆丝清炒酸辣尖椒,['stir fried shredded potato'],['Plain Sour and Spicy Chilli Pepper;V VG;M8'],土豆 豆丝 土豆丝 清炒 酸辣 尖椒,0,,0,
碳烧八味椰菁,['young coconut with madagascan black pepper sauce'],[''],碳烧 八味 椰菁,1,,1,
牛油毛菇,['garlic butter mushroom'],[''],牛油 毛菇,1,,1,
香煎虾米肠,['pan fried dried shrimp'],['Cheung Fun'],香 煎 虾米 肠,1,,1,
鲍汁北菇鹅掌,['braised goose webs and black mushrooms in abalone sauce'],[''],鲍汁 北菇 鹅掌,1,,1,
豆豉多春鱼,['shisamo in black bean sauce'],[''],豆豉 多春鱼,1,,1,
素椒杂酱面,['su jiao mian minced pork sesame sauce house chill oil'],[''],素椒杂 酱面,1,,1,
葱烧带子,['sauteed scallop with spring onion'],[''],葱烧 带子,1,,1,
鱼香牛肉,['yuxiang beef sauteed in spicy garlic sauce'],[''],鱼香 牛肉,1,,1,
湘味回锅肉,"['hot and spicy pork slices, hunan style']",[''],湘味 回锅 回锅肉,1,,1,
耗油小白菜,['pak choi in oyster sauce'],[''],耗油 白菜 小白菜,0,,0,
赛螃蟹,"['velvet egg white with crab and aged rice wine', 'Imitation Crab (Crab meat style egg)']","['', '']",赛 赛螃蟹 螃蟹,2,赛螃蟹,1,2.0
香辣肥肠鸡,['fried chicken with intestines and dried chilli'],[''],香辣 肥肠 鸡,1,,1,
杏仁虾丸,['prawn bauble with almond flakes'],[''],杏仁 虾丸,0,,0,
钟水饺,['pork dumplings with sweet and spicy chilli oil minced garlic'],[''],水饺 钟水饺,1,,1,
猪扒中式椒盐韩式煎,['mini pork chop in cantonese sauce'],['Salt and Pepper Korean Style'],猪扒 中式 椒盐 韩式 煎,1,,1,
铁板茄子,['wol fried aubergine with yellow beans on sizzling'],[''],铁板 茄子,0,,0,
咖喱汁,['curry sauce'],[''],咖喱 汁,0,,0,
虾仁馄饨汤面,['prawn and pork wonton'],['Noodle Soup;478kcal'],虾仁 馄饨 汤面,1,,1,
红油鱼肚,['fish maw in chili oil'],[''],红油 鱼肚,1,,1,
牛腩捞面,['stir fried noodles with beef'],['Brisket in Sauce'],牛腩 捞面,1,,1,
香甜汁,['sliced chicken in sweet and tangy sauce'],[''],香甜 汁,0,,0,
清炒大龙虾,['sauteed lobster'],[''],清炒 大龙 龙虾 大龙虾,0,,0,
避风塘铁公鸡,['chicken wing with chilli garlic and herb'],[''],避风 避风塘 公鸡 铁公鸡,2,,1,
鲜蘑炒蜜豆,['sauteed fresh mushrooms with sweetened beans'],[''],鲜蘑 炒蜜豆,0,,0,
菜肉云吞,['vegetarian crispy won ton'],[''],菜肉 云吞,1,,1,
明炉烧鸭全,['roast duck whole'],[''],明炉 烧鸭 全,1,,1,
肉酱豆腐,['braised tofu with minced pork'],[''],肉酱 豆腐,0,,0,
干鸡丝,['crispy shredded chicken'],[''],干 鸡丝,1,,1,
酸菜白肉,['chinese pickled cabbage with pork belly casserole'],[''],酸菜 白肉,0,,0,
清汤牛肉面,['beef noodles'],[''],清汤 牛肉 牛肉面,0,,0,
腐皮虾肠粉,['prawn and crispy beancur'],[''],腐皮 虾 肠粉,1,,1,
西蜀豆花,['braised tofu with peanuts and pickles'],[''],豆花 西蜀豆花 西蜀,1,西蜀 西蜀豆花,1,2.0
凤城煎鱼脯,['fried salted fish fillets'],[''],凤城 煎鱼 脯,2,,1,
韩式炭烧黑豚肉,['charcoal grilled beria pork in korean style s'],[''],韩式 炭烧 黑豚 肉,0,,0,
韭菜饺子,['chinese chive pot sticker dumpling with hot and sour sauce'],[''],韭菜 饺子,0,,0,
脆皮乳猪,['roasted crispy suckling pig'],[''],脆皮 乳猪,0,,0,
皇朝会烧腩仔,['roasted crispy pork belly'],[''],皇朝 会烧 腩 仔,2,,1,
斋锅贴,['grilled vegetarian dumpling'],[''],斋 锅贴,0,,0,
酥皮蛋挞仔,['taro croquette contain pork and shrimp'],[''],酥 皮蛋 挞 仔,0,,0,
香菇鸡肉包,['baozi stuffed with chicken and black mushrooms'],[''],香菇 鸡肉 包,0,,0,
凤眼秋波鸭包,['deep-fried duck rolls and quail eggs'],[''],凤眼 秋波 鸭包,2,凤眼 秋波,1,2.0
鲜菇炒牛肉,['sauteed beef with fresh mushroom'],[''],鲜菇 炒 牛肉,0,,0,
椒盐鸡柳排骨鲜鱿大虾,['salt and pepper chicken fillet spare rib squid and king prawn'],[''],椒盐 鸡柳 排骨 鲜 鱿 大虾,2,,1,
五花肉炖萝卜皮,['stewed pork belly with turnip peel'],[''],五花 五花肉 炖 萝卜 皮,0,,0,
锅仔雪菜鲈鱼,['stewed perch with preserved vegetable  '],[''],锅仔 雪菜 鲈鱼,0,,0,
煎银鳕鱼,['pan-fried codish fillet '],[''],煎 银 鳕鱼,0,,0,
咖喱牛肉煲,['clay pot beef in curry sauce'],[''],咖喱 牛肉 煲,1,,1,
铁板牛肉,['beef steak served on sizzling iron plate '],[''],铁板 牛肉,1,,1,
姜焗蟹,['baked crab with ginger and spring onion'],[''],姜 焗 蟹,1,,1,
油辔鱼球,['stir fried shredded fish'],[''],油辔 鱼球,1,,1,
果皇糕,['baked fruit cake'],[''],果皇糕,3,果皇糕,1,-1.0
日本和牛伴秘制酱汁,"[""a slow cooked a wagyu with chef's special sauce""]",[''],日本 和牛 伴 秘制 酱汁,0,,0,
召盐鸡翼,['salt and pepper chicken wings'],[''],召盐 鸡翼,1,,1,
芥兰蒜蓉清炒蚝油,['kai an oyster sauces garlic stir fry'],[''],芥兰 蒜蓉 清炒 蚝油,1,,1,
爆炒双脆,['sauteed duck gizzard and pork tripe'],[''],爆炒 双脆,1,,1,
剁椒鲈鱼,['steamed sea bass with chopped chilli'],[''],剁 椒 鲈鱼,1,,1,
锅仔番茄炖牛腩,['home recipe stewed beef brisket & tomato in casserole'],"['Beef Brisket, Carrots, Mushroom, Tomato']",锅仔 番茄 炖 牛腩,1,,1,
竹挞烤平鱼,['barbequed flatish on bamboo mat'],[''],竹挞 烤 平鱼,1,,1,
鲈鱼加吉鱼鳟鱼,['braised fish with green garlic sea bass/ mandarin/flatish/perch/'],[''],鲈鱼 加吉鱼 鳟鱼,0,,0,
杂果凉粉,['mixed fruit and sweet jelly'],[''],杂果 凉粉,0,,0,
凤尾虾,['butterfly king prawns'],[''],凤尾 虾,2,,1,
菜胆蚝油牛肉,['sauteed sliced beef and green vegetable in oyster sauce'],[''],菜胆 蚝油 牛肉,1,,1,
酥炸油条,['fried dough stick v'],[''],酥 油条 炸油条,1,,1,
生焗鱼头,['braised fish head in casserole'],[''],生焗 鱼头,1,,1,
核桃肉煲牛肉汤,['beef soup with walnuts'],[''],核桃 核桃肉 煲 牛肉 肉汤 牛肉汤,1,,1,
老干妈小海蟹,"[""velvet crab with grandma's sauce""]",[''],干妈 老干妈 小 海蟹,1,,1,
香辣虾,['spicy king prawn with sichuan pepper'],[''],香辣 香辣虾,0,,0,
古老猪肉球,['sweet and sour pork in batter'],[''],古老 猪肉 球,2,,1,
士汁青口,['fresh mussels in black bean sauce'],[''],士汁 青口,1,,1,
猪肉虾仁云吞捞面,['pork and prawn wontons with noodles'],[''],猪肉 虾仁 云吞 捞面,1,,1,
士召牛,['beef with green pepper in black bean sauce'],[''],士召牛,1,,1,
九王瑶柱羹,['scallop thick soup'],[''],九王 羹 瑶柱,1,九王 瑶柱,1,1.0
红烧骨,['barbecue spare ribs'],[''],红烧 骨,1,,1,
蛋挞,['egg tart'],[''],蛋挞,0,,0,
醋溜蟹,['sauteed crabs with sour sauce'],[''],醋溜 蟹,1,,1,
菜远虾球,['sauteed prawn balls with green vegetable'],[''],菜远 虾球,1,,1,
蒜蓉豆苗,['sauteed pea sprouts with mashed garlic'],[''],蒜蓉 豆苗,1,,1,
面包蟹炒年糕,['stir fried brown crab with korean rice cake'],[''],面包 蟹 年糕 炒年糕,1,,1,
火腿辔菜炒饭,['fried rice with diced ham & kimchi pickled vegetables'],"['Egg, Rice, Ham, Kimchi (Pickled Vegetables)']",火腿 辔 菜 炒饭,1,,1,
豉汁凤爪饭,['chicken feet in black bean sauce rice'],[''],豉汁 凤爪 饭,1,,1,
蕃茄干奶油明虾球,['sautéed creamy king prawns with dried tomatoes'],[''],蕃茄 干 奶油 明 虾球,1,,1,
青椒牛肉蛋炒饭,"['stir-fried rice with egg, beef and green pepper']",[''],青椒 牛肉 炒饭 蛋炒饭,0,,0,
杏仁豆腐,"['almond jelly', 'Chilled Almond Pudding']","['', '']",杏仁 豆腐 杏仁豆腐,1,,1,
酥炸蚵卷,['crispy oyster rolls'],[''],酥炸 蚵 卷,1,,1,
青瓜鸡丁,['sauteed diced chicken with cucumber'],[''],青瓜 鸡丁,0,,0,
宫保猪肉丁,['p kung po pork'],[''],宫保 猪肉 丁,1,,1,
凉拌青瓜,['chinese style cucumber salad'],[''],凉拌 青瓜,0,,0,
葱爆羊肉,['fried lamb with spring onion'],[''],葱爆 羊肉,1,,1,
彩椒炒火鸭柳,['sauteed roast duck with bell pepper'],[''],彩椒 炒 火 鸭 柳,1,,1,
青口豉汁姜葱辣炒啤酒,['stir fried mussels with black bean sauce ginger and spring onion'],['in Spicy Chilli Oil In Spicy Beer Sauce'],青口 豉汁 姜葱 辣 炒 啤酒,1,,1,
福寿炖燕窝,['braised bird’s nest '],[''],炖 燕窝 福寿,2,福寿,1,
斋星洲米,['vegetarian spicy vermicelli singapore style'],['with Sesame'],斋 星洲 米,1,,1,
腰果大虾,['quick fried king prawn with cashewnuts'],['48K'],腰果 大虾,0,,0,
酸辣蜇头花,['hot and sour jellyish'],[''],酸辣 蜇 头花,1,,1,
锅底可选松茸清汤四川麻辣,['veg platter chinese leaf pea sprouts baby pak choi'],['Soup Base Black Truffle Base Sichuan Spicy Base free;Chicken with Fish Maw Base Half whole'],锅底 可 选 松茸 清汤 四川 麻辣,0,,0,
杏汁芦荟木瓜,['papaya with aloe and almond juice'],[''],杏汁 芦荟 木瓜,1,,1,
蒜蓉煎巨虾,['grilled gigantic king prawns with garlic and chilli'],[''],蒜蓉 煎 巨虾,1,,1,
麻辣龙球煲,['clay pot dover sole fillet in spicy ma lat style'],[''],麻辣 龙球煲,1,,1,
